DATE, ID, HOUR, POWER, PRESSURE
2015-02-27, ID773962, 16, -0.103, 7.887
2015-02-27, ID773962, 17, -0.093, 7.9
2015-02-27, ID773962, 18, -0.082, 7.921
2015-02-27, ID773962, 19, -0.072, 7.935
2015-02-27, ID773962, 20, -0.082, 7.934
2015-02-27, ID773962, 22, -0.093, 7.924
2015-02-27, ID773962, 23, -0.144, 7.913
2015-02-27, ID773962, 24, -0.247, 7.9
2015-02-27, ID773972, 1, -6.662, 7.908
2015-02-27, ID773972, 2, -6.568, 7.885
2015-02-27, ID773972, 3, -6.537, 7.854
2015-02-27, ID773972, 4, -7.636, 7.852
2015-02-27, ID773972, 5, -6.55, 7.852
2015-02-27, ID773972, 6, -6.451, 7.871
2015-02-27, ID773972, 7, -6.392, 7.895
2015-02-27, ID773972, 8, -6.331, 7.931
2015-02-27, ID773972, 9, -6.312, 7.962
2015-02-27, ID773972, 10, -6.844, 7.976
2015-02-27, ID773972, 11, -6.378, 7.972
2015-02-27, ID773972, 12, -6.411, 7.981
2015-02-27, ID773972, 13, -6.419, 7.976
2015-02-27, ID773972, 14, -6.428, 7.967
2015-02-27, ID773972, 15, -6.324, 7.967
2015-02-27, ID773972, 16, -6.23, 7.966
2015-02-27, ID773972, 17, -5.858, 7.967
2015-02-27, ID773972, 18, -5.374, 7.985
2015-02-27, ID773972, 19, -5.054, 8.01
2015-02-27, ID773972, 20, -6.379, 8.013
2015-02-27, ID773972, 21, -5.027, 8.021
2015-02-27, ID773972, 22, -5.234, 8.011
2015-02-27, ID773972, 23, -5.675, 8.009
2015-02-27, ID773972, 24, -6.177, 8.006
2015-02-27, ID773979, 1, -1.676, 8.003
2015-02-27, ID773979, 2, -1.556, 8.017
2015-02-27, ID773979, 3, -1.566, 8.029
2015-02-27, ID773979, 4, -1.424, 8.032
2015-02-27, ID773979, 5, -1.492, 8.034
2015-02-27, ID773979, 6, -1.393, 8.034
2015-02-27, ID773979, 7, -1.327, 8.035
2015-02-27, ID773979, 8, -1.281, 8.036
2015-02-27, ID773979, 9, -1.27, 8.029
2015-02-27, ID773979, 10, -1.194, 8.027
2015-02-27, ID773979, 11, -1.303, 8.023
2015-02-27, ID773979, 12, -1.293, 8.021
2015-02-27, ID773979, 13, -1.348, 8.027
2015-02-27, ID773979, 14, -1.381, 8.031
2015-02-27, ID773979, 15, -1.359, 8.033
2015-02-27, ID773979, 16, -1.25, 8.038
2015-02-27, ID773979, 17, -0.92, 8.046
2015-02-27, ID773979, 18, -0.558, 8.055
2015-02-27, ID773979, 19, -0.448, 8.053
2015-02-27, ID773979, 20, -0.558, 8.044
2015-02-27, ID773979, 21, -0.503, 8.045
2015-02-27, ID773979, 22, -0.613, 8.039
2015-02-27, ID773979, 23, -0.8, 8.034
2015-02-27, ID773979, 24, -1.172, 8.024
2015-02-27, ID773987, 1, -15.039, 46.922
2015-02-27, ID773987, 2, -15.216, 46.975
2015-02-27, ID773987, 3, -14.244, 46.957
2015-02-27, ID773987, 4, -13.89, 47.01
2015-02-27, ID773987, 5, -13.405, 47.032
2015-02-27, ID773987, 6, -13.203, 47.024
2015-02-27, ID773987, 7, -12.468, 46.976
2015-02-27, ID773987, 8, -12.111, 47.012
2015-02-27, ID773987, 9, -12.34, 47.038
2015-02-27, ID773987, 10, -12.419, 47.103
2015-02-27, ID773987, 11, -12.519, 47.025
2015-02-27, ID773987, 12, -12.949, 47.132
2015-02-27, ID773987, 13, -12.926, 47.119
2015-02-27, ID773987, 14, -13.231, 47.187
2015-02-27, ID773987, 15, -13.136, 47.124
2015-02-27, ID773987, 16, -12.7, 47.139
2015-02-27, ID773987, 17, -11.017, 47.212
2015-02-27, ID773987, 18, -10.067, 47.212
2015-02-27, ID773987, 19, -8.77, 47.206
2015-02-27, ID773987, 20, -8.381, 47.179
2015-02-27, ID773987, 21, -8.052, 47.091
2015-02-27, ID773987, 22, -8.247, 47.084
2015-02-27, ID773987, 23, -9.907, 47.071
2015-02-27, ID773987, 24, -11.534, 47.08
2015-02-27, ID773997, 1, -1.173, 6.843
2015-02-27, ID773997, 2, -1.071, 6.83
2015-02-27, ID773997, 3, -0.998, 6.815
2015-02-27, ID773997, 4, -0.977, 6.825
2015-02-27, ID773997, 5, -0.894, 6.829
2015-02-27, ID773997, 6, -0.864, 6.828
2015-02-27, ID773997, 7, -0.822, 6.837
2015-02-27, ID773997, 8, -0.791, 6.838
2015-02-27, ID773997, 9, -0.74, 6.844
2015-02-27, ID773997, 10, -0.812, 6.842
2015-02-27, ID773997, 11, -0.823, 6.848
2015-02-27, ID773997, 12, -0.864, 6.843
2015-02-27, ID773997, 13, -0.875, 6.842
2015-02-27, ID773997, 14, -0.957, 6.844
2015-02-27, ID773997, 15, -0.948, 6.844
2015-02-27, ID773997, 16, -0.927, 6.848
2015-02-27, ID773997, 17, -0.68, 6.854
2015-02-27, ID773997, 18, -0.546, 6.858
2015-02-27, ID773997, 19, -0.484, 6.866
2015-02-27, ID773997, 20, -0.494, 6.871
2015-02-27, ID773997, 21, -0.484, 6.872
2015-02-27, ID773997, 22, -0.525, 6.874
2015-02-27, ID773997, 23, -0.546, 6.869
2015-02-27, ID773997, 24, -0.772, 6.869
2015-02-27, ID774003, 1, -40.822, 4.689
2015-02-27, ID774003, 2, -39.921, 4.665
2015-02-27, ID774003, 3, -39.185, 4.646
2015-02-27, ID774003, 4, -38.719, 4.658
2015-02-27, ID774003, 5, -37.988, 4.665
2015-02-27, ID774003, 6, -37.155, 4.672
2015-02-27, ID774003, 7, -36.738, 4.677
2015-02-27, ID774003, 8, -34.988, 4.685
2015-02-27, ID774003, 9, -33.507, 4.689
2015-02-27, ID774003, 10, -34.171, 4.692
2015-02-27, ID774003, 11, -33.929, 4.696
2015-02-27, ID774003, 12, -34.437, 4.688
2015-02-27, ID774003, 13, -34.669, 4.689
2015-02-27, ID774003, 14, -34.591, 4.686
2015-02-27, ID774003, 15, -33.969, 4.688
2015-02-27, ID774003, 16, -33.216, 4.696
2015-02-27, ID774003, 17, -31.273, 4.706
2015-02-27, ID774003, 18, -29.578, 4.729
2015-02-27, ID774003, 19, -28.693, 4.749
2015-02-27, ID774003, 20, -28.981, 4.757
2015-02-27, ID774003, 21, -28.877, 4.762
2015-02-27, ID774003, 22, -29.666, 4.755
2015-02-27, ID774003, 23, -30.582, 4.748
2015-02-27, ID774003, 24, -32.646, 4.732
2015-02-27, ID774036, 1, -53.053, 44.208
2015-02-27, ID774036, 2, -53.292, 44.151
2015-02-27, ID774036, 3, -54.586, 44.103
2015-02-27, ID774036, 4, -50.957, 44.127
2015-02-27, ID774036, 5, -49.527, 44.141
2015-02-27, ID774036, 6, -46.788, 44.175
2015-02-27, ID774036, 7, -45.507, 44.203
2015-02-27, ID774036, 8, -41.737, 44.212
2015-02-27, ID774036, 9, -42.201, 44.243
2015-02-27, ID774036, 10, -41.037, 44.25
2015-02-27, ID774036, 11, -40.756, 44.271
2015-02-27, ID774036, 12, -40.789, 44.256
2015-02-27, ID774036, 13, -42.832, 44.238
2015-02-27, ID774036, 14, -41.471, 44.224
2015-02-27, ID774036, 15, -40.638, 44.18
2015-02-27, ID774036, 16, -39.176, 44.209
2015-02-27, ID774036, 17, -33.342, 44.295
2015-02-27, ID774036, 18, -27.737, 44.334
2015-02-27, ID774036, 19, -25.151, 44.389
2015-02-27, ID774036, 20, -24.865, 44.437
2015-02-27, ID774036, 21, -26.077, 44.46
2015-02-27, ID774036, 22, -27.352, 44.458
2015-02-27, ID774036, 23, -29.834, 44.392
2015-02-27, ID774036, 24, -36.871, 44.315
2015-02-27, ID774040, 1, -73.15, 43.198
2015-02-27, ID774040, 2, -70.404, 42.97
2015-02-27, ID774040, 3, -69.349, 42.762
2015-02-27, ID774040, 4, -69.236, 42.807
2015-02-27, ID774040, 5, -67.79, 42.853
